"Feature","Gain","Cover","Frequency"
"successor",0.544502391084409,0.0262626262626263,0.0139664804469274
"indian",0.166202499102449,0.0285072951739618,0.0167597765363128
"thousand",0.0974568751070472,0.0125701459034792,0.0139664804469274
"confirm",0.0320075448722909,0.0461279461279461,0.0307262569832402
"caus",0.0265370386925443,0.00190796857463524,0.00279329608938547
"ottawa",0.0178760906775785,0.00617283950617284,0.00558659217877095
"give",0.0165934041259333,0.00662177328843996,0.00837988826815642
"promis",0.0160124444266575,0.00190796857463524,0.00279329608938547
"observ",0.0118017527960887,0.00224466891133558,0.00279329608938547
"nation",0.00793642704820362,0.00673400673400673,0.0111731843575419
"ever",0.00786039812794933,0.00448933782267116,0.0111731843575419
"abandon",0.00746313372785144,0.00392817059483726,0.0139664804469274
"children",0.00738478374297009,0.00347923681257015,0.00558659217877095
"heir",0.00672080754720506,0.0118967452300786,0.00837988826815642
"affix",0.00533881471620567,0.0141414141414141,0.0111731843575419
"hundr",0.00378153646623689,0.0135802469135802,0.0139664804469274
"said",0.00363524505240906,0.00471380471380471,0.00558659217877095
"settlement",0.00327473840528466,0.0108866442199776,0.0111731843575419
"control",0.00307602967173619,0.00336700336700337,0.00279329608938547
"acced",0.00245360625587594,0.179349046015713,0.0949720670391061
"agent",0.00241981095889275,0.00190796857463524,0.00558659217877095
"princip",0.00213468862354326,0.00235690235690236,0.00279329608938547
"also",0.00107073354361491,0.00437710437710438,0.0111731843575419
"affair",0.000717335453224238,0.00606060606060606,0.0195530726256983
"wit",0.00058441526297395,0.00516273849607183,0.00558659217877095
"interest",0.000577603061898496,0.0021324354657688,0.00279329608938547
"acknowledg",0.000518595310463024,0.00785634118967452,0.0418994413407821
"accru",0.000393379393726744,0.00134680134680135,0.00558659217877095
"describ",0.000350438766855543,0.00179573512906846,0.00558659217877095
"pound",0.000297136676703362,0.0170594837261504,0.0139664804469274
"britann",0.000286955689404245,0.00224466891133558,0.00279329608938547
"within",0.000278687595123163,0.00190796857463524,0.00279329608938547
"alexand",0.000271971992192569,0.0315375982042649,0.0251396648044693
"save",0.000242164522305273,0.0021324354657688,0.00279329608938547
"aid",0.000212503050227627,0.0015712682379349,0.00279329608938547
"acr",0.000195173673217439,0.00224466891133558,0.0111731843575419
"peopl",0.00015702193535858,0.00258136924803591,0.00279329608938547
"abid",0.000148586572203959,0.0021324354657688,0.00279329608938547
"adjut",0.000142921198950628,0.00202020202020202,0.00837988826815642
"account",0.000104147869808395,0.000897867564534231,0.00279329608938547
"consent",9.38608023379284e-05,0.0042648709315376,0.00558659217877095
"claim",9.07528141731975e-05,0.000897867564534231,0.00279329608938547
"can",8.91715486820564e-05,0.00179573512906846,0.00279329608938547
"sum",8.65941836090684e-05,0.00112233445566779,0.00279329608938547
"conclud",6.51924032131386e-05,0.00471380471380471,0.00558659217877095
"acadi",5.00116682210996e-05,0.00493827160493827,0.0223463687150838
"inhabit",4.96160475980224e-05,0.00280583613916947,0.00558659217877095
"chippawa",4.62610716919583e-05,0.00505050505050505,0.00837988826815642
